address,x,y
서울특별시 강남구 도산대로45길 14<br><br> 지번 서울시 강남구 신사동 650-16,127.0357558,37.52322587
서울특별시 강남구 도산대로87길 11<br><br> 지번 서울시 강남구 청담동 122-30,127.0498061,37.52541779
서울특별시 강남구 강남대로84길 24-4 B1<br><br> 지번 서울시 강남구 역삼동 827-3 B1,127.0305852,37.49672932
서울특별시 강남구 도산대로11길 32 2F<br><br> 지번 서울시 강남구 신사동 535-8 2F,,
서울특별시 강남구 논현로94길 25-5 화가빌딩 2F<br><br> 지번 서울시 강남구 역삼동 670-17 화가빌딩 2F,127.0380789,37.50321484
서울특별시 강남구 논현로159길 65 3F<br><br> 지번 서울시 강남구 신사동 545-1 3F,,
서울특별시 강남구 선릉로148길 21 1F<br><br> 지번 서울시 강남구 청담동 2-18 1F,,
서울특별시 강남구 강남대로124길 3-6 호은빌딩 2F<br><br> 지번 서울시 강남구 논현동 143-16 호은빌딩 2F,127.0230468,37.50907553
서울특별시 강남구 논현로149길 40<br><br> 지번 서울시 강남구 논현동 6-9,127.0252846,37.51774003
서울특별시 강남구 선릉로157길 20-5 신사빌딩 B1<br><br> 지번 서울시 강남구 신사동 663-7 신사빌딩 B1,127.0382204,37.52654782
서울특별시 강남구 논현로159길 25 102호<br><br> 지번 서울시 강남구 신사동 566-6 102호,127.0260672,37.52275196
서울특별시 강남구 강남대로94길 23 3F<br><br> 지번 서울시 강남구 역삼동 818-7 3F,,
서울특별시 강남구 테헤란로19길 21<br><br> 지번 서울시 강남구 역삼동 637-29,127.0330171,37.50142994
서울특별시 서초구 서초대로77길 37 서초동월드 401호<br><br> 지번 서울시 서초구 서초동 1308-10 서초동월드 401호,127.0251043,37.50099462
서울특별시 강남구 언주로164길 41 B1<br><br> 지번 서울시 강남구 신사동 646-22 B1,127.036933,37.52539774
서울특별시 강남구 봉은사로1길 33 논현빌딩 1F<br><br> 지번 서울시 강남구 논현동 165-13 논현빌딩 1F,127.0241209,37.50686425
서울특별시 강남구 선릉로155길 13-1 1F<br><br> 지번 서울시 강남구 신사동 655-7 1F,,
서울특별시 강남구 선릉로155길 12 104호<br><br> 지번 서울시 강남구 신사동 657-1 104호,127.0388195,37.5255967
